gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
155; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
155; 41; 384; 4.652; 0.3352; 1.3982; -0.7699; 0.8509; -1.4172; 0.7261
160; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
160; 12; 6556; 3.9795; 0.6369; 2.085; 1.6887; 2.2554; -1.3389; 2.2697
160; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
160; 17; 4131; 5.4742; 2.3133; 2.2351; 0.6654; 0.9483; -0.5392; -0.5008
160; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
160; 41; 1560; 2.7907; 0.3143; 0.0828; 0.0713; 2.353; 0.1023; -0.0889
165; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
165; 12; 6556; 3.9795; 0.6369; 2.085; 1.6887; 2.2554; -1.3389; 2.2697
165; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
165; 17; 4131; 5.2434; 2.9061; 1.517; 0.6705; 2.1903; -0.5826; 2.1932
165; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
165; 41; 1560; 3.7958; 1.0285; 1.8245; 0.5478; 2.0757; -1.4854; 2.5092
170; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
170; 12; 6556; 3.066; -0.2736; 7.5541; 0.6537; 3.1347; -0.861; 3.9427
170; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
170; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
170; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
170; 41; 1560; 4.7963; 4.0389; 0.6048; 3.1477; 3.9251; -0.8593; 0.3282
