gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
180; 71; 2677; 2.3428; 0.2181; 0.3207; 1.0283; -0.9208; -0.8702; 1.9373
180; 65; 1510; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
180; 66; 840; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
185; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
185; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
185; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
185; 9; 2090; 4.7077; 0.6906; 0.5257; 7.4576; 3.2299; -3.9212; -2.3108
185; 36; 2090; 1.1752; 0.7121; -0.2321; -4.7287; 0.7145; 0.1868; -4.0866
185; 28; 2090; 0.4847; -0.0527; 0.5293; -2.4138; 2.593; -2.7154; -1.5577
185; 29; 2090; 0.354; 0.7436; -3.8989; -2.3047; 0.7436; -3.171; 1.6539
185; 51; 213; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
185; 44; 1405; 1.2801; 3.794; 0.9074; -2.5214; 3.6449; -1.3593; 4.0164
185; 47; 2264; 1.8954; -2.325; -0.0865; 1.3363; 1.9473; -3.6153; 1.6255
185; 71; 272; 0.1813; 2.7677; 0.264; 1.1346; 0.9924; 0.0471; -5.4535
185; 65; 1510; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
185; 66; 840; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
190; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
190; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
190; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
190; 9; 2090; 4.7077; 0.6906; 0.5257; 7.4576; 3.2299; -3.9212; -2.3108
190; 36; 2090; 0.0265; 1.0; -0.2671; 0.725; 1.1454; -1.6943; -1.7478
190; 28; 2090; 0.4847; -0.0527; 0.5293; -2.4138; 2.593; -2.7154; -1.5577
190; 29; 2090; 0.354; 0.7436; -3.8989; -2.3047; 0.7436; -3.171; 1.6539
